	ceoname.value	company.value	companyLabel.xml:lang	companyLabel.value	ceonameLabel.xml:lang	ceonameLabel.value	starttime.value
2232	http://www.wikidata.org/entity/Q95744445	http://www.wikidata.org/entity/Q7000460	en	Vy Buss	en	Ole Engebret Haugen	2017-08-01T00:00:00Z
2233	http://www.wikidata.org/entity/Q95744193	http://www.wikidata.org/entity/Q7000460	en	Vy Buss	en	Arne Veggeland	2000-02-10T00:00:00Z
2234	http://www.wikidata.org/entity/Q116142302	http://www.wikidata.org/entity/Q11878398	en	UniCredit Bank Czech Republic and Slovakia	en	Jakub Dusílek	2019-01-01T00:00:00Z
2235	http://www.wikidata.org/entity/Q116142302	http://www.wikidata.org/entity/Q11878398	en	UniCredit Bank Czech Republic and Slovakia	en	Jakub Dusílek	2019-01-01T00:00:00Z
2236	http://www.wikidata.org/entity/Q110446457	http://www.wikidata.org/entity/Q110446291	en	Thrilling	en	Shilla Kim-Parker	2018-01-01T00:00:00Z
2237	http://www.wikidata.org/entity/Q95467341	http://www.wikidata.org/entity/Q12058918	en	Thomayer Hospital	en	Petr Malý	2006-09-22T00:00:00Z
2238	http://www.wikidata.org/entity/Q95457024	http://www.wikidata.org/entity/Q12058918	en	Thomayer Hospital	en	Karel Filip	2007-05-01T00:00:00Z
2239	http://www.wikidata.org/entity/Q116501956	http://www.wikidata.org/entity/Q157062	en	Unilever	en	Hein Schumacher	2023-07-01T00:00:00Z
2240	http://www.wikidata.org/entity/Q95407514	http://www.wikidata.org/entity/Q122835292	en	Delta Blockchain Fund	en	Kavita Gupta	2023-01-01T00:00:00Z
2241	http://www.wikidata.org/entity/Q116446661	http://www.wikidata.org/entity/Q124219607	en	Faithward Advisors	en	Bernard I Bostwick	2019-01-01T00:00:00Z
2242	http://www.wikidata.org/entity/Q116135298	http://www.wikidata.org/entity/Q109342242		Q109342242	en	Hans Ober	2012-01-01T00:00:00Z
2243	http://www.wikidata.org/entity/Q95397933	http://www.wikidata.org/entity/Q62123272	en	Müller & Kapsa	en	Vojtěch Kapsa	1890-01-01T00:00:00Z
2244	http://www.wikidata.org/entity/Q95461139	http://www.wikidata.org/entity/Q933787	en	Škoda Transportation	en	Petr Novotný	2023-01-01T00:00:00Z
2245	http://www.wikidata.org/entity/Q95461139	http://www.wikidata.org/entity/Q933787	en	Škoda Transportation	en	Petr Novotný	2023-01-01T00:00:00Z
2246	http://www.wikidata.org/entity/Q95691524	http://www.wikidata.org/entity/Q127278673	en	LinkedIn Corporation	en	Ryan Roslansky	2020-06-01T00:00:00Z
2247	http://www.wikidata.org/entity/Q111833676	http://www.wikidata.org/entity/Q28119223	en	Wind Tre	en	Benoit Hanssen	2022-04-01T00:00:00Z
2248	http://www.wikidata.org/entity/Q111833676	http://www.wikidata.org/entity/Q28119223	en	Wind Tre	en	Benoit Hanssen	2022-04-01T00:00:00Z
2249	http://www.wikidata.org/entity/Q111833441	http://www.wikidata.org/entity/Q28119223	en	Wind Tre	en	Gianluca Corti	2022-04-01T00:00:00Z
2250	http://www.wikidata.org/entity/Q111833441	http://www.wikidata.org/entity/Q28119223	en	Wind Tre	en	Gianluca Corti	2022-04-01T00:00:00Z
2251	http://www.wikidata.org/entity/Q96678447	http://www.wikidata.org/entity/Q95690344	en	J&T Express	en	Robin Lo	2017-10-01T00:00:00Z
2252	http://www.wikidata.org/entity/Q106303701	http://www.wikidata.org/entity/Q106303371	en	KALUZA + SCHMID	en	Steffen Kaluza	2007-06-04T00:00:00Z
2253	http://www.wikidata.org/entity/Q106303491	http://www.wikidata.org/entity/Q106303371	en	KALUZA + SCHMID	en	Martin Schmid	2007-06-04T00:00:00Z
2254	http://www.wikidata.org/entity/Q111253511	http://www.wikidata.org/entity/Q128738	en	Anheuser-Busch InBev	en	Michel Doukeris	2021-01-01T00:00:00Z
2255	http://www.wikidata.org/entity/Q96313148	http://www.wikidata.org/entity/Q1952722	en	Mundipharma	en	Marc Princen	2020-06-01T00:00:00Z
2256	http://www.wikidata.org/entity/Q96020634	http://www.wikidata.org/entity/Q64137108	en	EWE Vertrieb	en	Oliver Bolay	2020-06-01T00:00:00Z
2257	http://www.wikidata.org/entity/Q96472795	http://www.wikidata.org/entity/Q1636974	en	Danske Bank	en	Chris Vogelzang	2019-06-01T00:00:00Z
2258	http://www.wikidata.org/entity/Q96472795	http://www.wikidata.org/entity/Q1636974	en	Danske Bank	en	Chris Vogelzang	2019-06-01T00:00:00Z
2259	http://www.wikidata.org/entity/Q111748506	http://www.wikidata.org/entity/Q15951718		Q15951718		Q111748506	2022-01-01T00:00:00Z
2260	http://www.wikidata.org/entity/Q111748506	http://www.wikidata.org/entity/Q15951718		Q15951718		Q111748506	2022-01-01T00:00:00Z
2261	http://www.wikidata.org/entity/Q96276834	http://www.wikidata.org/entity/Q97363614		Q97363614	en	Thor Christensen	1988-01-01T00:00:00Z
2262	http://www.wikidata.org/entity/Q105979074	http://www.wikidata.org/entity/Q105979056	en	Cinema Design in Sweden AB	en	Lillebjörn Gyllfeldt	2019-03-15T00:00:00Z
